('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         931727 function calls (909642 primitive calls) in 281.719 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      594    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.014    0.014 shutil.py:1(<module>)
       17    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      219    0.000    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
      209    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
       38    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
        7    0.000    0.000    0.459    0.066 client.py:638(_safe_read)
        9    0.000    0.000  276.084   30.676 client.py:1487(connect)
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      313    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
   134/42    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
      757    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       82    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
      629    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      9/3    0.000    0.000  279.218   93.073 request.py:496(open)
       10    0.000    0.000  276.085   27.608 client.py:1047(send)
      147    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        9    0.000    0.000    0.004    0.000 parser.py:41(parse)
       18    0.000    0.000    0.000    0.000 idna.py:155(encode)
      300    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        1    0.000    0.000    0.799    0.799 element.py:1(<module>)
      101    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.001    0.001 dammit.py:734(UnicodeDammit)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      344    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
       68    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      6/3    0.000    0.000  141.949   47.316 request.py:687(http_error_302)
      244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      464    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        9    0.000    0.000    3.124    0.347 client.py:1404(getresponse)
      173    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      464    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        9    0.000    0.000    0.001    0.000 client.py:266(__init__)
      173    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      161    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
      239    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      173    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        9    0.000    0.000    1.967    0.219 socket.py:946(getaddrinfo)
       20    0.000    0.000    0.001    0.000 enum.py:528(__new__)
       18    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      954    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      538    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        9    0.000    0.000    0.002    0.000 cookiejar.py:1680(extract_cookies)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        1    0.000    0.000    0.000    0.000 iso2022_kr.py:1(<module>)
      346    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
    44/32    0.000    0.000    0.014    0.000 css_parser.py:579(parse_pseudo_class)
       63    0.000    0.000    0.001    0.000 parser.py:124(set_cdata_mode)
       41    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.515    0.515 cookiejar.py:1(<module>)
        9    0.000    0.000  271.960   30.218 client.py:1018(connect)
        1    0.000    0.000    0.002    0.002 quoprimime.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        2    0.000    0.000    0.027    0.013 utils.py:1(<module>)
        1    0.000    0.000    0.009    0.009 css_match.py:1(<module>)
      192    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        9    0.000    0.000    4.124    0.458 ssl.py:449(wrap_socket)
        9    0.000    0.000    0.000    0.000 socket.py:516(family)
      513    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       68    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
      235    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      168    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        9    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
      209    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.084    0.084 css_parser.py:1(<module>)
       90    0.000    0.000    0.339    0.004 <frozen importlib._bootstrap>:1375(_gcd_import)
        3    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
        1    0.000    0.000    0.000    0.000 euc_kr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
        9    0.000    0.000    0.055    0.006 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.040    0.040 ssl.py:1(<module>)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.013    0.013 parse.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      313    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.408    0.408 request.py:1(<module>)
       12    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
