('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1046056 function calls (1020540 primitive calls) in 44.380 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.073    0.073 dammit.py:1(<module>)
        3    0.000    0.000    0.012    0.004 utils.py:1(<module>)
        9    0.000    0.000   38.090    4.232 connectionpool.py:377(_make_request)
       21    0.000    0.000    0.003    0.000 utils.py:752(should_bypass_proxies)
       42    0.000    0.000    0.000    0.000 queue.py:154(get)
        9    0.000    0.000    0.001    0.000 _collections.py:341(extend)
      377    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       98    0.000    0.000    0.039    0.000 utils.py:265(is_multi_byte_encoding)
       78    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       12    0.000    0.000    0.001    0.000 url.py:367(parse_url)
      193    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        2    0.000    0.000    0.004    0.002 request.py:1(<module>)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       62    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
    40/31    0.000    0.000    0.017    0.001 css_parser.py:746(parse_pseudo_open)
     1426    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
        3    0.000    0.000    0.003    0.001 ssl_.py:225(create_urllib3_context)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       44    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        3    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       13    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
      553    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
        9    0.000    0.000   38.098    4.233 adapters.py:591(send)
        1    0.000    0.000    0.174    0.174 element.py:1(<module>)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
